cells,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,date,temp_battery,vdc,equalz_trt_hrs,equalz_details
cell1,1.265,1.24,1.247,1.23,1.185,1.25,1.236,1.236,1.23,1.246,1.235,1.235,1.244,1.24,1.235,1.248,9/27/2024,80,55.39,,
cell2,1.248,1.235,1.238,1.231,1.185,1.235,1.235,1.256,1.25,1.223,1.225,1.23,1.23,1.225,1.215,1.244,9/27/2024,80,55.39,,
cell3,1.262,1.238,1.24,1.26,1.165,1.248,1.24,1.245,1.239,1.244,1.24,1.24,1.24,1.235,1.219,1.225,9/27/2024,80,55.39,,
cell1,1.277,1.265,1.27,1.258,1.26,1.274,1.265,1.265,1.257,1.275,1.263,1.26,1.265,1.264,1.257,1.266,10/12/2024,73,53.59,9,"1,1,4,3"
cell2,1.265,1.26,1.263,1.256,1.25,1.264,1.257,1.276,1.271,1.255,1.251,1.253,1.258,1.255,1.245,1.265,10/12/2024,73,53.59,9,"1,1,4,3"
cell3,1.279,1.268,1.267,1.259,1.251,1.273,1.265,1.267,1.26,1.266,1.261,1.26,1.262,1.26,1.264,1.254,10/12/2024,73,53.59,9,"1,1,4,3"
cell1,1.284,1.269,1.277,1.261,1.265,1.275,1.268,1.269,1.263,1.275,1.267,1.264,1.269,1.268,1.263,1.268,10/16/2024,72.68,54.4,8,"4,4"
cell2,1.275,1.266,1.266,1.259,1.255,1.265,1.262,1.275,1.274,1.257,1.256,1.256,1.262,1.258,1.247,1.266,10/16/2024,72.68,54.4,8,"4,4"
cell3,1.285,1.27,1.274,1.26,1.256,1.263,1.272,1.269,1.267,1.267,1.269,1.264,1.265,1.264,1.264,1.257,10/16/2024,72.68,54.4,8,"4,4"
cell1,1.286,1.273,1.281,1.263,1.272,1.279,1.275,1.273,1.265,1.279,1.262,1.268,1.273,1.273,1.267,1.273,11/18/2024,68,56.99,1,1
cell2,1.274,1.27,1.271,1.265,1.262,1.269,1.267,1.28,1.279,1.262,1.257,1.263,1.266,1.264,1.252,1.271,11/18/2024,68,56.99,1,1
cell3,1.285,1.275,"1,276",1.265,1.263,1.277,1.269,1.275,1.268,1.275,1.271,1.27,1.272,1.267,1.267,1.263,11/18/2024,68,56.99,1,1
